main_category,productId,retailerProductId,name,price_eur,price_per_kg_eur,categoryPath,brand,available,maxQuantityReached,featured,guaranteed_life_quantity,guaranteed_life_unit,size_value,attributes_labels,image_src
Nos recettes,edd2466e-ce6e-4340-976e-8e94f972b60a,MPX_3987638,Natoora Poire Conférence - CAT:I - 500gr,2.99,5.98,"['Fruits & Légumes', 'Natoora le Primeur', 'Fruits']",Natoora,True,False,false,5.0,DAY,500g,[],https://courses.monoprix.fr/images-v3/0c44253f-c4a3-4340-9d37-d41e42b9d14a/f59cd7d6-e669-426f-b551-1f6aaf474e9b/300x300.jpg
Nos recettes,dd0cdd27-2ea4-4266-9839-c5cfc8cc6923,MPX_2865056,Monoprix Gourmet Pain multicéréales 500g,2.99,5.98,"['Nos sélections', 'Inspiration du moment', '& Notre sélection brunch', 'Pains']",Monoprix Gourmet,True,False,false,4.0,WEEK,500g,[],https://courses.monoprix.fr/images-v3/0c44253f-c4a3-4340-9d37-d41e42b9d14a/3a417e56-802f-40eb-b78a-f483666ee117/300x300.jpg
Nos recettes,ab0eaebb-3d8a-43f5-b49c-90cb7bbd731f,MPX_3599268,Monoprix Jambon Cuit 6 Tranches Sans Couenne,3.25,13.54,"['Charcuterie et Traiteur', 'Charcuterie', 'Jambon blanc']",Monoprix,True,False,false,1.0,WEEK,240g,[],https://courses.monoprix.fr/images-v3/0c44253f-c4a3-4340-9d37-d41e42b9d14a/071e6440-bda0-4552-8105-07b6d9d78be2/300x300.jpg
Nos recettes,dc306371-195b-4103-b4b6-ff4550a20562,MPX_3440730,Pomme de Terre Grenailles Minute 500g,2.0,4.0,"['Nos sélections', 'Inspiration du moment', '& Frigo vide', 'Fruits et Légumes']",Priméale,True,False,false,6.0,DAY,500g,[],https://courses.monoprix.fr/images-v3/0c44253f-c4a3-4340-9d37-d41e42b9d14a/57e77e0b-d55c-4fd4-b026-f95316970649/300x300.jpg
Nos recettes,12dc7dde-8e3c-44ac-826a-0e0c72e497e9,MPX_2824587,Oignon Rouge 3 Têtes,3.29,9.4,"['Fruits & Légumes', 'Légumes Frais', 'Ail, Oignons et Echalotes', 'Oignon']",Monoprix,True,False,false,1.0,WEEK,350g,[],https://courses.monoprix.fr/images-v3/0c44253f-c4a3-4340-9d37-d41e42b9d14a/767e9e4b-2355-4776-b06b-933bd6b13763/300x300.jpg
Nos recettes,e5af62e1-d95f-4338-911b-eb8bbe0c90b5,MPX_732652,Monoprix Bio mozzarella au lait de vache bio 125g,1.79,14.32,"['Produits du monde', 'Italie - Italia', 'Mozzarella, Parmesan, Burrata et Ricotta']",Monoprix Bio,True,False,false,1.0,WEEK,125g,['Produit bio'],https://courses.monoprix.fr/images-v3/0c44253f-c4a3-4340-9d37-d41e42b9d14a/9ab982eb-4d5a-4309-be67-3cbf1f74947b/300x300.jpg
Nos recettes,2e1a022b-acbe-4651-8e90-64942e9cadd4,MPX_1753538,Ail Blanc Bio 3 têtes,2.99,1.0,"['Bio', 'Fruit et Légume bio', 'Légume frais bio']",Monoprix,True,False,false,1.0,WEEK,3 par pack,['Produit bio'],https://courses.monoprix.fr/images-v3/0c44253f-c4a3-4340-9d37-d41e42b9d14a/5e795d76-6724-461f-acc5-edb122351884/300x300.jpg
Nos recettes,71d1d983-9088-4821-b318-3c14d7bec409,MPX_130899,Monoprix Chocolat Noir Pâtissier Dessert 200G,1.89,9.45,"['Epicerie Sucrée', 'Sucre, Farine et Aide à la pâtisserie', 'Chocolat à pâtisser']",Monoprix,True,False,false,6.0,MONTH,200g,[],https://courses.monoprix.fr/images-v3/0c44253f-c4a3-4340-9d37-d41e42b9d14a/ffb93570-a97b-4b4e-b9b3-4fcbba4a82a2/300x300.jpg
Nos recettes,b9b28d72-a729-46ad-8c8f-f37d1d9068aa,MPX_3705992,Avocat x4,4.49,1.12,"['Fruits & Légumes', 'Légumes Frais', 'Avocats, Concombres et Radis', 'Avocat']",AUTRE MARQUE,True,False,false,4.0,DAY,4 par pack,[],https://courses.monoprix.fr/images-v3/0c44253f-c4a3-4340-9d37-d41e42b9d14a/cf27d485-4379-4890-88d1-e0b1a3783bed/300x300.jpg
Nos recettes,d048e5d3-4e0f-47b6-a44b-e6478a00d09b,MPX_1663641,Monoprix laitue iceberg 300g,0.99,3.3,"['Fruits & Légumes', 'Prêts à consommer', 'Salades']",Monoprix,True,False,false,2.0,DAY,300g,[],https://courses.monoprix.fr/images-v3/0c44253f-c4a3-4340-9d37-d41e42b9d14a/18307a46-06d8-4e22-9226-96cddd815459/300x300.jpg
Nos recettes,7168932f-02c4-46fd-8123-8f0b62c93d9f,MPX_80082,Champignon Blanc de Paris 500g,3.5,7.0,"['Fruits & Légumes', 'Légumes Frais', 'Champignons']",Monoprix,True,False,false,1.0,DAY,500g,[],https://courses.monoprix.fr/images-v3/0c44253f-c4a3-4340-9d37-d41e42b9d14a/9fecca9b-a63c-4c24-9d02-5c84af2df590/300x300.jpg
