id,stock,available,title,packaging,brand,product_price,crossed_out_price,unit_price,kilo_litre_price,category
55295,5,True,Mouliné légumes variés,les 2 briques de 30 cl,"St Eloi, une marque Intermarché",1.71,,2.85,,Promotions
19315,2,True,Pois chiches,la boite de 500 g,"St Eloi, une marque Intermarché",1.77,,3.54,,Promotions
38299,1,True,Riz pour sushi Japonica,le sachet de 450g,Tanoshi,4.27,,9.49,,Promotions
33744,11,True,Feuilles d'algues nori grillées pour sushi,"le sachet de 7 feuilles - 17,5g",Tanoshi,3.69,,205.0,,Promotions
45625,6,True,Coco épaisse,La brique de 200ml,Suzi Wan,1.25,,6.25,,Promotions
44098,7,True,Cocos blancs,la boite de 500 g,"St Eloi, une marque Intermarché",2.84,,5.68,,Promotions
52841,14,True,Coquillettes BIO,le paquet de 500 g,"Fiorini Bio, une marque Intermarché",0.86,,1.72,,Promotions
52842,17,True,Spaghetti BIO,le paquet de 500 g,"Fiorini Bio, une marque Intermarché",0.86,,1.72,,Promotions
160765,7,True,Cuisses de volaille,la conserve de 1240g,Jean Larnaudie,9.77,14.81,7.88,,Promotions
161561,12,True,Cassoulet de Castelnaudary au porc,la conserve de 1350g,Jean Larnaudie,9.77,14.81,7.24,,Promotions
38903,1,True,Nouilles japonaises saveur poulet Teriyaki,le pot de 65g,Tanoshi,1.96,,30.15,,Promotions
49548,4,True,Nouilles instantanées Soba Classic,le pot de 90 g,Nissin,2.36,,26.22,,Promotions
168882,19,True,Haricots lingots aux saucisses de Toulouse,"la conserve de 1,24kg",Jean Larnaudie,9.77,14.81,7.88,,Promotions
61081,2,True,Nouilles instantanées Soba Teriyaki,le pot de 90 g,Nissin,2.36,,26.22,,Promotions
1231,17,True,Flageolets verts,la boite de 500 g,"St Eloi, une marque Intermarché",4.68,,9.36,,Promotions
71883,3,True,"Nouilles Japonaises en cup, crevettes",le pot de 63 g,Nissin,1.79,,28.41,,Promotions
57618,9,True,Saveur d'Asie - Nouilles chinoises saveur poulet,les 3 sachets de 65 g - 195g,"Itinéraire des Saveurs, une marque Intermarché",1.64,,8.41,,Promotions
120008,24,True,Le Basmati riz du Penjab,Le sachet de 500g,Taureau Ailé,2.84,,5.68,,Promotions
57630,3,True,Saveur d'Asie - Nouilles chinoises saveur bœuf,les 3 sachets de 65 g - 195g,"Itinéraire des Saveurs, une marque Intermarché",1.72,,8.82,,Promotions
111583,2,True,Bouillon cubes volaille dégraissé,la boite de 12 - 120 g,Maggi,1.85,,15.42,,Promotions
12412,1,True,Huile de friture,la bouteille de 2 l,"Bouton d’Or, une marque Intermarché",4.55,,2.28,,Promotions
126873,13,True,Bouillon cubes légumes -25% de sel,la boite de 12 - 120 g,Maggi,2.09,,17.42,,Promotions
76871,5,True,Saveur d'Asie - Cup Nouilles saveur poulet,la boite de 65 g,"Itinéraire des Saveurs, une marque Intermarché",1.31,,20.15,,Promotions
57638,1,True,Saveur d'Asie - Nouilles chinoises saveur crevettes,les 3 sachets de 65 g - 195g,"Itinéraire des Saveurs, une marque Intermarché",1.76,,9.03,,Promotions
111584,6,True,Bouillon cubes boeuf dégraissé,la boite de 12 - 120 g,Maggi,2.02,,16.83,,Promotions
8667,16,True,Champignons noirs déshydratés,la boite de 25 g,"Itinéraire des Saveurs, une marque Intermarché",3.02,,120.8,,Promotions
3804,4,True,Purée de piments,le pot de 100 g,"Itinéraire des Saveurs, une marque Intermarché",1.56,,15.6,,Promotions
176288,11,True,Spaghetto quadrato,le paquet de 500g,La Molisana,1.96,,3.92,,Promotions
43839,5,True,Langue de bœuf sauce madère,la boite de 410 g,Larzul,9.74,,23.76,,Promotions
111582,3,True,Bouillon cubes pot au feu dégraissé,la boite de 12 cubes - 120 g,Maggi,1.95,,16.25,,Promotions
212219,7,True,Nouilles ramen précuites au curry jaune,Les 2 sachets de 160g - 320g,Suzi Wan,3.69,,11.53,,Promotions
141193,4,True,"Langue de bœuf - moutarde à l'ancienne, échalotes et sel de Guérande",la boîte de 410g,Larzul,8.68,,21.17,,Promotions
141194,11,True,"Langue de boeuf - compotée de tomates, piment d'espelette et sel de Guérande",la boîte de 410g,Larzul,8.91,,21.73,,Promotions
233861,3,True,Filets de merlu blanc MSC panés,la barquette de 200g,Cité Marine,3.99,,19.95,,Promotions
