productId,available,name,size_value,brand,price_eur,price_per_kg_eur,main_category
133993,True,Colin d'Alaska 7 Céréales & Graines MSC,la boîte de 2 filets - 250g,Findus,4.14,16.56,Produits
122594,True,Glace caramel biscuit spéculoos,Le pot de 400g ,Häagen-Dazs,6.37,15.93,Epicerie-Sucrée
122601,True,Glace vanille caramel et brownie,Le pot de 386g ,Häagen-Dazs,6.79,17.59,Epicerie-Sucrée
183741,True,Ristorante - Pizza spéciale jambon salami,La pizza de 345g,Dr. Oetker,3.66,10.61,Epicerie-Salée
237359,True,Mini pizzas Piccolissima Proscuitto,la boîte de 12 - 288g,Ristorante,4.47,15.52,Epicerie-Salée
218600,True,Naan au fromage,La boite de 240g,Deli's world,5.61,23.38,Pain-et-Viennoiserie
60647,True,Confort - Papier toilette Aqua Tube extraits de Lotus,les 24 rouleaux,Lotus,7.85,0.33,Hygiène
155120,True,Tendre Croc' - Croque-monsieur jambon fromage sans croûte,la barquette de 2 - 200 g,Herta,1.95,9.75,Pain-et-Viennoiserie
155123,True,Tendre Croc' - Croque-monsieur Comté,la barquette de 2 - 200 g,Herta,1.95,9.75,Pain-et-Viennoiserie
73989,True,Eau gazeuse minérale finement pétillante - Verte,les 6 bouteilles de 1l - 6l,Badoit,4.42,0.74,Boissons
79996,True,Spécialité charcutière au poulet rôti en cocotte,le pot de 220 g,Bordeau Chesnel,2.55,11.59,Charcuterie
115547,True,Nems porc et sauce Nuoc mam,la barquette de 4 - 280 g,"Itinéraire des Saveurs, une marque Intermarché",1.79,6.39,Produits-du-monde
5833,True,Jus de pomme pétillant l'Original,la bouteille de 75cl,Champomy,2.72,3.63,Boissons
29886,True,Pâte feuilletée BIO,le paquet de 230 g,"Monique Ranou Bio, une marque Intermarché",1.71,7.43,Pain-et-Viennoiserie
213163,True,Gels douche vanille et huile de coco,Le lot de 3 flacons de 250ml - 750ml,Tahiti,3.29,4.39,Hygiène-Beauté
225772,True,Gel douche 5 en 1 - Provocation,Les 2 flacon de 400ml - 800ml,Axe,5.4,6.75,Hygiène-Beauté
213872,True,Gel douche grenade et huile de coco,Le lot de 3 flacons de 250ml - 750 ml,Tahiti,3.29,4.39,Hygiène-Beauté
4924,True,"Vin de Pays d'Oc Cabernet Sauvignon, vin rouge",la bouteille de 75 cl,Roche Mazet,2.97,3.96,Bière-Cave-et-Spiritueux
5624,True,"Martini bianco 14,4°",La bouteille de 1L,Martini,7.11,7.11,Bière-Cave-et-Spiritueux
210142,True,Gel douche extra doux lait d'amande douce BIO,Le lot de 3 flacons de 250ml - 750ml,Le Petit Marseillais,4.44,5.92,Hygiène-Beauté
160738,True,Petits pots bébé carottes semoule dinde dès 6 mois,les 2 pots de 200g - 400g,Blédina,2.17,5.43,Bébé
26300,True,Sauvignon Pays d'Oc,la bouteille de 75 cl,Roche Mazet,4.0,5.33,Bière-Cave-et-Spiritueux
213164,True,Gel douche citron et huile de coco,Le lot de 3 flacons de 250ml - 750ml,Tahiti,3.29,4.39,Hygiène-Beauté
213602,True,White Now - Dentifrice blancheur Ice Now menthe,Le lot de 3 tubes de 75ml - 225ml,Signal,4.74,21.02,Hygiène
39521,True,Pâte brisée BIO,la boite de 230 g,"Monique Ranou Bio, une marque Intermarché",1.71,7.43,Bio
208782,True,Bébé - Shampoing très doux,le flacon de 300ml,Mixa,2.75,9.17,Bébé
208781,True,Bébé - Gel douche corps et cheveux très doux hypoallergénique,le flacon de 300ml,Mixa,2.75,9.17,Bébé
209491,True,"Baby Dry - Couches taille 4, 9-14kg",le paquet de 45 couches,Pampers,10.49,0.24,Bébé
66730,True,Couches Premium Active taille 4 : 7-18 kg,le paquet de 48,"Pommette, une marque Intermarché",10.28,0.22,Animaux
45062,True,"Couches Premium Active, taille 5 : 11-25 kg",le paquet de 44,"Pommette, une marque Intermarché",10.28,0.24,Animaux
235460,True,Bébé - Lingettes ultra-douce hypoallergénique multi-usage au lait de toilette,Le paquet de 80 lingettes,Mixa,2.75,0.04,Bébé
160723,True,Petits pots bébé purée de carottes jambon dès 6 mois,les 2 pots de 400g - 800g,Blédina,2.17,5.43,Bébé
160724,True,Petits pots bébé tomates riz poulet dès 6 mois,les 2 pots de 200g - 400g,Blédina,2.17,5.43,Bébé
160738,True,Petits pots bébé carottes semoule dinde dès 6 mois,les 2 pots de 200g - 400g,Blédina,2.17,5.43,Bébé
208782,True,Bébé - Shampoing très doux,le flacon de 300ml,Mixa,2.75,9.17,Bébé
66729,True,"Couches Premium Active, taille 3 : 4-9 kg",le paquet de 52,"Pommette, une marque Intermarché",10.28,0.2,Animaux
12380,True,"Couches Premium Active, taille 4+ : 9-20 kg",le paquet de 46,"Pommette, une marque Intermarché",10.28,0.23,Animaux
239327,True,Lait de croissance en poudre - Calisma Croissance 3 - dès 12 mois,La boîte de 830g,Gallia,11.22,13.52,Bébé
209929,True,"Baby Dry - Couches culottes taille 7, 17kg+",le paquet de 29 couches,Pampers,10.49,0.37,Bébé
208783,True,Bébé - Lait de toilette très doux hypoallergénique,le flacon de 300ml,Mixa,2.75,9.17,Bébé
209490,True,"Baby Dry - Couches taille 3, 6-10kg",le paquet de 52 couches,Pampers,10.49,0.21,Bébé
209930,True,"Baby Dry - Couches taille 4, 10-15kg",le paquet de 40 couches,Pampers,10.49,0.27,Bébé
